accuracy    ,precision   ,recall      ,f1_score    ,tp   ,tn   ,fp ,fn ,feature_method                  ,model                           ,seed ,split_ratio ,train_size ,test_size ,extraction_time ,feature_size ,train_time   ,pred_time   ,dataset    ,scale_pos_weight ,threshold
0.988075792 ,0.971320118 ,0.997833622 ,0.984398376 ,2303 ,3746 ,68 , 5 ,tf-idf_ngram                    ,xgboost                         , 666 ,        0.2 ,     24487 ,     6122 ,    0.082128537 ,       29338 , 0.585031698 ,0.001787049 ,SQLiV3.tsv ,            5000 ,     0.05
0.999563509 ,1           ,0.999563509 ,0.999781707 ,2290 ,   0 , 0 , 1 ,bert_en_uncased_L-12_H-768_A-12 ,bert_en_uncased_L-12_H-768_A-12 , 666 ,        0.2 ,     24487 ,     6122 ,    0           ,           0 ,69.12731658  ,2.405943386 ,SQLiV3.tsv ,                 ,      
0.986278994 ,0.965808358 ,0.998690528 ,0.981974249 ,2288 ,3750 ,81 , 3 ,tf-idf_ngram                    ,xgboost                         ,  23 ,        0.2 ,     24487 ,     6122 ,    0.082387869 ,       29074 , 0.577415711 ,0.002254228 ,SQLiV3.tsv ,            5000 ,     0.05
0.99577881  ,0.999561404 ,0.996066434 ,0.997810858 ,2279 ,  80 , 1 , 9 ,bert_en_uncased_L-12_H-768_A-12 ,bert_en_uncased_L-12_H-768_A-12 ,  23 ,        0.2 ,     24487 ,     6122 ,    0           ,           0 ,70.61641638  ,2.327282754 ,SQLiV3.tsv ,                 ,      
0.985135577 ,0.964225589 ,0.997387897 ,0.980526428 ,2291 ,3740 ,85 , 6 ,tf-idf_ngram                    ,xgboost                         ,   6 ,        0.2 ,     24487 ,     6122 ,    0.083420502 ,       29196 , 0.482598501 ,0.001942399 ,SQLiV3.tsv ,            5000 ,     0.05
0.997474747 ,0.998690528 ,0.998690528 ,0.998690528 ,2288 ,  82 , 3 , 3 ,bert_en_uncased_L-12_H-768_A-12 ,bert_en_uncased_L-12_H-768_A-12 ,   6 ,        0.2 ,     24487 ,     6122 ,    0           ,           0 ,70.62725064  ,2.365776485 ,SQLiV3.tsv ,                 ,      
0.985788958 ,0.964545066 ,0.998231653 ,0.981099283 ,2258 ,3777 ,83 , 4 ,tf-idf_ngram                    ,xgboost                         ,  34 ,        0.2 ,     24487 ,     6122 ,    0.082949305 ,       27216 , 0.583611965 ,0.004984124 ,SQLiV3.tsv ,            5000 ,     0.05
0.997009825 ,1           ,0.996899911 ,0.998447549 ,2251 ,  83 , 0 , 7 ,bert_en_uncased_L-12_H-768_A-12 ,bert_en_uncased_L-12_H-768_A-12 ,  34 ,        0.2 ,     24487 ,     6122 ,    0           ,           0 ,69.38682903  ,2.322138705 ,SQLiV3.tsv ,                 ,      
0.987259066 ,0.968240343 ,0.998230088 ,0.983006536 ,2256 ,3788 ,74 , 4 ,tf-idf_ngram                    ,xgboost                         ,1984 ,        0.2 ,     24487 ,     6122 ,    0.082883159 ,       29147 , 0.574724075 ,0.002173613 ,SQLiV3.tsv ,            5000 ,     0.05
0.996995708 ,0.998669623 ,0.99822695  ,0.998448238 ,2252 ,  71 , 3 , 4 ,bert_en_uncased_L-12_H-768_A-12 ,bert_en_uncased_L-12_H-768_A-12 ,1984 ,        0.2 ,     24487 ,     6122 ,    0           ,           0 ,70.6072512   ,2.347299981 ,SQLiV3.tsv ,                 ,      
0.983175433 ,0.958560067 ,0.998256321 ,0.978005552 ,2290 ,3729 ,99 , 4 ,tf-idf_ngram                    ,xgboost                         ,1994 ,        0.2 ,     24487 ,     6122 ,    0.082137417 ,       27306 , 0.561956972 ,0.002054209 ,SQLiV3.tsv ,            5000 ,     0.05
0.998744244 ,1           ,0.998689956 ,0.999344549 ,2287 ,  99 , 0 , 3 ,bert_en_uncased_L-12_H-768_A-12 ,bert_en_uncased_L-12_H-768_A-12 ,1994 ,        0.2 ,     24487 ,     6122 ,    0           ,           0 ,68.71639754  ,2.372605374 ,SQLiV3.tsv ,                 ,      
0.984972231 ,0.962557846 ,0.998690528 ,0.980291345 ,2288 ,3742 ,89 , 3 ,tf-idf_ngram                    ,xgboost                         ,  77 ,        0.2 ,     24487 ,     6122 ,    0.081425051 ,       29094 , 0.565365481 ,0.002549622 ,SQLiV3.tsv ,            5000 ,     0.05
0.999579302 ,1           ,0.999562937 ,0.999781421 ,2287 ,  89 , 0 , 1 ,bert_en_uncased_L-12_H-768_A-12 ,bert_en_uncased_L-12_H-768_A-12 ,  77 ,        0.2 ,     24487 ,     6122 ,    0           ,           0 ,68.47591198  ,2.299270361 ,SQLiV3.tsv ,                 ,      
